user_id,date,merchant,amount,location,category
U001,1/1/2025,DoorDash,349.37,"Seattle, WA",Dining
U001,1/1/2025,Sweetgreen,287.35,"New York, NY",Dining
U001,1/1/2025,Netflix,294.16,"Los Gatos, CA",Subscriptions
U001,1/2/2025,Netflix,381.06,"Los Gatos, CA",Subscriptions
U001,1/3/2025,Kroger,287.13,"Plano, TX",Groceries
U001,1/3/2025,Spotify,6.22,"New York, NY",Subscriptions
U001,1/4/2025,Netflix,271.14,"Los Gatos, CA",Subscriptions
U001,1/4/2025,Starbucks,192.67,"Austin, TX",Dining
U001,1/4/2025,Uber,306.19,"New York, NY",Transportation
U001,1/5/2025,Shell,148.88,"Dallas, TX",Gas
U001,1/6/2025,DoorDash,48.33,"Seattle, WA",Dining
U001,1/6/2025,Chipotle,205.84,"Austin, TX",Dining
U001,1/7/2025,Apple,214.24,"Cupertino, CA",Electronics
U001,1/7/2025,Delta Airlines,387.05,"Atlanta, GA",Travel
U001,1/7/2025,Delta Airlines,215.79,"Atlanta, GA",Travel
U001,1/8/2025,Costco,237.18,"Plano, TX",Groceries
U001,1/8/2025,Exxon,134.53,"Dallas, TX",Gas
U001,1/9/2025,Exxon,337.38,"Dallas, TX",Gas
U001,1/10/2025,United Airlines,135.83,"Chicago, IL",Travel
U001,1/11/2025,Sweetgreen,150.87,"New York, NY",Dining
U001,1/12/2025,H-E-B,398.73,"Austin, TX",Groceries
U001,1/13/2025,Airbnb,396.76,"San Francisco, CA",Travel
U001,1/13/2025,Amazon,350.56,"Seattle, WA",Online Shopping
U001,1/14/2025,Nike,39.41,"Beaverton, OR",Retail
U001,1/15/2025,Netflix,267.9,"Los Gatos, CA",Subscriptions
U001,1/15/2025,Walmart,324.1,"Bentonville, AR",Retail
U001,1/15/2025,Chipotle,7.02,"Austin, TX",Dining
U001,1/16/2025,Chipotle,130.17,"Austin, TX",Dining
U001,1/16/2025,Nike,314.26,"Beaverton, OR",Retail
U001,1/16/2025,Lyft,283.44,"San Francisco, CA",Transportation
U001,1/17/2025,Netflix,304.67,"Los Gatos, CA",Subscriptions
U001,1/17/2025,Nike,245.3,"Beaverton, OR",Retail
U001,1/17/2025,Netflix,12.91,"Los Gatos, CA",Subscriptions
U001,1/18/2025,Uber,25.1,"New York, NY",Transportation
U001,1/18/2025,Kroger,298.65,"Plano, TX",Groceries
U001,1/19/2025,Shell,255.66,"Dallas, TX",Gas
U001,1/19/2025,Uber,266.36,"New York, NY",Transportation
U001,1/20/2025,Chipotle,92.43,"Austin, TX",Dining
U001,1/20/2025,Netflix,186.2,"Los Gatos, CA",Subscriptions
U001,1/21/2025,Sweetgreen,187.07,"New York, NY",Dining
U001,1/22/2025,Airbnb,322.29,"San Francisco, CA",Travel
U001,1/23/2025,Amazon,211.17,"Seattle, WA",Online Shopping
U001,1/23/2025,Sweetgreen,234.72,"New York, NY",Dining
U001,1/23/2025,Kroger,340.09,"Plano, TX",Groceries
U001,1/24/2025,Chipotle,325.38,"Austin, TX",Dining
U001,1/24/2025,DoorDash,307.1,"Seattle, WA",Dining
U001,1/25/2025,Lyft,64.76,"San Francisco, CA",Transportation
U001,1/26/2025,United Airlines,156.77,"Chicago, IL",Travel
U001,1/26/2025,Walmart,95.87,"Bentonville, AR",Retail
U001,1/27/2025,Nike,31.31,"Beaverton, OR",Retail
U001,1/28/2025,United Airlines,41.4,"Chicago, IL",Travel
U001,1/28/2025,Nike,92.98,"Beaverton, OR",Retail
U001,1/28/2025,Nike,48,"Beaverton, OR",Retail
U001,1/29/2025,Amazon,74.49,"Seattle, WA",Online Shopping
U001,1/29/2025,Uber,369.9,"New York, NY",Transportation
U001,1/29/2025,United Airlines,244.12,"Chicago, IL",Travel
U001,1/30/2025,Amazon,337.93,"Seattle, WA",Online Shopping
U001,1/30/2025,H-E-B,328.28,"Austin, TX",Groceries
U001,1/31/2025,H-E-B,207.38,"Austin, TX",Groceries
U001,2/1/2025,Nike,73.5,"Beaverton, OR",Retail
U001,2/1/2025,Exxon,245.16,"Dallas, TX",Gas
